"filename", "language", "Python", "XML", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Codes\py\QJLzuoye\第四次作业\第四章第四题.py", "Python", 7, 0, 0, 0, 0, 2, 9
"c:\Codes\py\TKinker\1.py", "Python", 52, 0, 0, 0, 5, 31, 88
"c:\Codes\py\TKinker\2.py", "Python", 42, 0, 0, 0, 5, 14, 61
"c:\Codes\py\TKinker\Call_Master_Ma.py", "Python", 286, 0, 0, 0, 53, 82, 421
"c:\Codes\py\TKinker\error.py", "Python", 16, 0, 0, 0, 8, 5, 29
"c:\Codes\py\TKinker\fontchooser.py", "Python", 51, 0, 0, 0, 8, 15, 74
"c:\Codes\py\TKinker\temp1.py", "Python", 18, 0, 0, 0, 8, 5, 31
"c:\Codes\py\TKinker\temp2.py", "Python", 28, 0, 0, 0, 3, 5, 36
"c:\Codes\py\TKinker\temp3.py", "Python", 18, 0, 0, 0, 60, 21, 99
"c:\Codes\py\TKinker\temp4.py", "Python", 11, 0, 0, 0, 7, 5, 23
"c:\Codes\py\TKinker\tempCodeRunnerFile.py", "Python", 0, 0, 0, 0, 7, 1, 8
"c:\Codes\py\py工作区.code-workspace", "JSON with Comments", 0, 0, 36, 0, 0, 2, 38
"Total", "-", 1275, 423, 36, 69, 229, 409, 2441
